title,html_url,xml_url
@JoanZap,http://blog.joanzapata.com/,http://joanzap.ghost.io/rss/
"Advanced RxJava",http://akarnokd.blogspot.com/,http://akarnokd.blogspot.com/feeds/posts/default
"Alessandro Crugnola",http://blog.sephiroth.it,http://blog.sephiroth.it/feed/
"An Android Dev Blog",http://antoine-merle.com/,http://castorflex.github.io/atom.xml
"Android Design Patterns",http://androiddesignpatterns.blogspot.com/,http://androiddesignpatterns.blogspot.com/feeds/posts/default?alt=rss
"Android Developer",http://www.therealjoshua.com/blog/,http://www.therealjoshua.com/feed/
"Android Developers Blog",http://android-developers.blogspot.com/,http://feeds.feedburner.com/blogspot/hsDu
"Android Tips and Tricks",http://blog.robinchutaux.com/,http://blog.robinchutaux.com/atom.xml
angusmorton,http://angusmorton.com/,http://angusmorton.com/rss/
"Antonio Leiva",http://antonioleiva.com,http://antonioleiva.com/feed/
"Arjun U.",http://arjunu.com,http://arjunu.com/feed/
"Chris Banes",http://chris.banes.me/,http://chris.banes.me/atom.xml
"Christian Panadero",http://panavtec.me,http://panavtec.me/feed/
Codedependent,http://graphics-geek.blogspot.com/,http://graphics-geek.blogspot.com/feeds/posts/default
"Cyril Mottier",http://cyrilmottier.com/,http://android.cyrilmottier.com/?feed=rss2
"Dan Lew Codes",http://blog.danlew.net/,http://blog.danlew.net/rss/
"David Gonzalez",http://malmstein.github.io/,http://www.malmstein.com/atom.xml
"Donn Felker",http://www.donnfelker.com,http://feeds.feedburner.com/donnfelker
"Flavien Laurent",http://flavienlaurent.com/,http://flavienlaurent.com/atom.xml
"froger_mcs dev blog",http://frogermcs.github.io,http://frogermcs.github.io/feed.xml
"Grokking Android",http://www.grokkingandroid.com,http://feeds.feedburner.com/GrokkingAndroid
halfthought,https://halfthought.wordpress.com,http://halfthought.wordpress.com/feed/
"Hannes Dorfmann",http://hannesdorfmann.com/,http://www.hannesdorfmann.com//feed.xml
"Jake Wharton",http://jakewharton.com/,http://jakewharton.com/atom.xml
"Jorge Castillo",http://jorgecastillo.xyz/,http://jorgecastillo.xyz/atom.xml
"JPARDOGO on Medium",https://medium.com/@jpardogo,https://medium.com/feed/@jpardogo
"kaushik gopal's blog",http://blog.kaush.co/,http://blog.kaush.co/feed.xml
"Kirill Boyarshinov",http://kboyarshinov.com,http://kboyarshinov.com/feed.xml
"Matt Logan",http://mattlogan.me/,http://mattlogan.me/feed
"More Is Not Always Better",https://blahti.wordpress.com,http://blahti.wordpress.com/feed/
"My life with Android :-)",http://mylifewithandroid.blogspot.com/,http://mylifewithandroid.blogspot.com/feeds/posts/default
"My little Android warehouse",http://fedepaol.github.io/,http://fedepaol.github.io/atom.xml
"NimbleDroid Blog",http://blog.nimbledroid.com/,http://blog.nimbledroid.com/feed.xml
"Omit needless code blog",http://www.omitneedlesscode.com/blog/,http://feeds.feedburner.com/ElliottChenger
"Patryk Poborca on Medium",https://medium.com/@patrykpoborca,https://medium.com/feed/@patrykpoborca
Piwaï.info,http://www.piwai.info,http://feeds.feedburner.com/Piwai
"Porcupine Programmer",http://chalup.github.io/,http://chalup.github.io/atom.xml
"Romain Guy",http://www.curious-creature.com,http://www.curious-creature.org/feed/
"Ryan Harter",http://ryanharter.com/,http://ryanharter.com/atom.xml
"Seb’s Top Tip",https://medium.com/@seebrock3r,https://medium.com/feed/@seebrock3r
"Stef' on Medium",https://medium.com/@Mul0w,https://medium.com/feed/@Mul0w
"The CommonsBlog",http://commonsware.com/blog/,http://commonsware.com/blog/feed.atom
"The Corner",http://corner.squareup.com,http://feeds.feedburner.com/corner-squareup-com
"Tony's Blog",https://tsicilian.wordpress.com,http://tsicilian.wordpress.com/feed/
"Udi Cohen",http://blog.udinic.com/,http://blog.udinic.com/feed.xml
"Wedding Party",http://nerds.weddingpartyapp.com/,http://nerds.weddingpartyapp.com/atom.xml
